row_number,hubmap_tissue_block_id,comments
1163,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
1164,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
1167,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
1169,HBM946.WFMM.788,401 Unauthorized: No Authorization header
1175,HBM267.HTHQ.426,401 Unauthorized: No Authorization header
1180,HBM975.TVTP.828,401 Unauthorized: No Authorization header
1182,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
1184,HBM723.WVZJ.827,401 Unauthorized: No Authorization header
1187,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1189,HBM556.CFNP.485,401 Unauthorized: No Authorization header
1190,HBM589.TRHK.898,401 Unauthorized: No Authorization header
1193,HBM942.QQWW.939,401 Unauthorized: No Authorization header
1198,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
1199,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1204,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
1205,HBM973.CRMG.832,401 Unauthorized: No Authorization header
1210,HBM325.FMTV.343,401 Unauthorized: No Authorization header
1211,HBM988.TDTM.396,401 Unauthorized: No Authorization header
1212,HBM633.CHDG.392,401 Unauthorized: No Authorization header
1213,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
1215,HBM359.SGVR.724,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM359.SGVR.724
1217,HBM922.TCNK.538,401 Unauthorized: No Authorization header
1218,HBM497.VGSN.945,401 Unauthorized: No Authorization header
1220,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
1221,HBM229.NBWV.944,401 Unauthorized: No Authorization header
1222,HBM297.PFXV.394,401 Unauthorized: No Authorization header
1223,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
1228,HBM996.XSFS.465,401 Unauthorized: No Authorization header
1229,HBM234.RSLT.388,401 Unauthorized: No Authorization header
1230,HBM437.TMDF.528,401 Unauthorized: No Authorization header
1232,HBM975.TVTP.828,401 Unauthorized: No Authorization header
1234,HBM922.TCNK.538,401 Unauthorized: No Authorization header
1236,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1238,HBM384.SXQB.763,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM384.SXQB.763
1239,HBM938.JJMV.536,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM938.JJMV.536
1241,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
1243,HBM642.VZNT.722,401 Unauthorized: No Authorization header
1244,HBM653.SDCX.322,401 Unauthorized: No Authorization header
1245,HBM539.LXKF.934,401 Unauthorized: No Authorization header
1246,HBM336.BZXG.436,401 Unauthorized: No Authorization header
1247,HBM568.WDZZ.977,401 Unauthorized: No Authorization header
1251,HBM979.NRZZ.666,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM979.NRZZ.666
1252,HBM624.HGGF.297,401 Unauthorized: No Authorization header
1253,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
1255,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1257,HBM328.RHVD.587,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM328.RHVD.587
1259,HBM328.HNFB.949,401 Unauthorized: No Authorization header
1261,HBM528.ZLVW.967,401 Unauthorized: No Authorization header
1264,HBM876.QFMP.836,401 Unauthorized: No Authorization header
