row_number,hubmap_tissue_block_id,comments
671,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
672,HBM485.MFVF.256,401 Unauthorized: No Authorization header
675,HBM328.RHVD.587,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM328.RHVD.587
677,HBM439.RKPP.789,401 Unauthorized: No Authorization header
680,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
682,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
683,HBM329.SFVX.367,401 Unauthorized: No Authorization header
684,HBM373.FGDK.859,401 Unauthorized: No Authorization header
689,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
692,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
694,HBM784.SPZB.799,401 Unauthorized: No Authorization header
695,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
698,HBM345.QSPF.289,401 Unauthorized: No Authorization header
699,HBM872.XRHM.685,401 Unauthorized: No Authorization header
700,HBM497.VGSN.945,401 Unauthorized: No Authorization header
701,HBM455.PRVR.965,401 Unauthorized: No Authorization header
702,HBM639.BSVJ.945,401 Unauthorized: No Authorization header
703,HBM387.FRRL.937,401 Unauthorized: No Authorization header
704,HBM748.GDSK.748,401 Unauthorized: No Authorization header
705,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
708,HBM823.GGSW.733,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM823.GGSW.733
709,HBM999.WVWP.899,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM999.WVWP.899
710,HBM946.WFMM.788,401 Unauthorized: No Authorization header
711,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
715,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
716,HBM325.FMTV.343,401 Unauthorized: No Authorization header
717,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
720,HBM975.TVTP.828,401 Unauthorized: No Authorization header
724,HBM486.QXHD.874,401 Unauthorized: No Authorization header
725,HBM688.MWGQ.574,401 Unauthorized: No Authorization header
726,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
728,HBM252.NJGH.275,401 Unauthorized: No Authorization header
729,HBM635.PSTJ.637,401 Unauthorized: No Authorization header
732,HBM695.BKXQ.562,401 Unauthorized: No Authorization header
734,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
736,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
737,HBM398.FZPD.625,401 Unauthorized: No Authorization header
738,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
740,HBM394.KDBS.444,401 Unauthorized: No Authorization header
741,HBM467.BFGV.595,401 Unauthorized: No Authorization header
745,HBM777.FXGQ.664,401 Unauthorized: No Authorization header
747,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
749,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
750,HBM973.CRMG.832,401 Unauthorized: No Authorization header
751,HBM453.GCQJ.964,401 Unauthorized: No Authorization header
752,HBM534.JJTS.299,401 Unauthorized: No Authorization header
754,HBM799.WGWR.477,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM799.WGWR.477
755,HBM736.NQNZ.734,401 Unauthorized: No Authorization header
756,HBM525.HTJF.586,401 Unauthorized: No Authorization header
757,HBM972.RTFD.763,401 Unauthorized: No Authorization header
759,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
761,HBM642.VZNT.722,401 Unauthorized: No Authorization header
762,HBM653.SDCX.322,401 Unauthorized: No Authorization header
764,HBM465.JWQL.645,401 Unauthorized: No Authorization header
765,HBM626.RGND.384,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM626.RGND.384
768,HBM798.ZZBP.697,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM798.ZZBP.697
771,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
772,HBM733.MDFT.436,401 Unauthorized: No Authorization header
