dataset_id,dataset_id_for_rui,organ,rui_location_annotations_json,rui_location_annotations_Lu,list_of_colliding_AS
HBM272.FWMV.423.csv,HBM272.FWMV.423,VHFLeftKidneyV1.1,http://purl.obolibrary.org/obo/UBERON_0008716|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_L_b
HBM372.TFNT.572.csv,HBM372.TFNT.572,VHFRightKidneyV1.1,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0002015,VH_F_kidney_capsule_R|VH_F_outer_cortex_of_kidney_R
HBM525.LRPL.332.csv,HBM525.LRPL.332,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284,VH_M_outer_cortex_of_kidney_R|VH_M_renal_column_R
HBM275.PDRR.759.csv,HBM275.PDRR.759,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0004200,VH_M_renal_pyramid_L_a|VH_M_outer_cortex_of_kidney_L
HBM879.RZJJ.974.csv,HBM879.RZJJ.974,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227|http://purl.obolibrary.org/obo/UBERON_0001224,,
HBM826.VZFT.824.csv,HBM826.VZFT.824,VHFLeftKidneyV1.1,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_outer_cortex_of_kidney_L|VH_F_renal_pyramid_L_a|VH_F_renal_column_L
HBM634.QQWF.789.csv,HBM634.QQWF.789,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284,VH_M_outer_cortex_of_kidney_R|VH_M_renal_column_R
HBM979.KNQM.454.csv,HBM979.KNQM.454,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284,VH_M_outer_cortex_of_kidney_R|VH_M_renal_column_R
HBM752.ZRBH.538.csv,HBM752.ZRBH.538,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_M_renal_pyramid_d|VH_M_renal_papilla_R_d|VH_M_renal_column_R
HBM427.KFXP.323.csv,HBM427.KFXP.323,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284,VH_M_outer_cortex_of_kidney_R|VH_M_renal_column_R
HBM793.QCGM.999.csv,HBM793.QCGM.999,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0004200,VH_M_renal_pyramid_a
