rui,hubmap_id
https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,HBM876.HTRX.668,HBM537.GVTL.683,HBM447.KCHB.778,HBM552.PBBF.363,HBM282.BKRZ.254,HBM834.THPC.928,HBM958.GZCX.985,HBM684.TLPQ.738,HBM476.VHDB.268,HBM393.DZDZ.972,HBM942.NXWW.245,HBM427.KFXP.323,HBM634.QQWF.789,HBM664.LQSH.693,HBM873.NSHG.559,HBM258.HQCL.349,HBM243.MTZV.726,HBM252.JLSW.848,HBM246.KBZS.276,HBM495.ZFDT.229,HBM242.HNLH.466,HBM844.KXXX.692,HBM979.KNQM.454,HBM525.LRPL.332,HBM332.KQWB.454,HBM688.FLJB.475,HBM347.MRTV.333,HBM996.XSNK.694
https://entity.api.hubmapconsortium.org/entities/1176b219b9ca81e0c5adef05ce695302,HBM669.GWVL.893
https://entity.api.hubmapconsortium.org/entities/2256c64aacd92af7028ffb33e478cf46,HBM399.TFTQ.282
https://entity.api.hubmapconsortium.org/entities/243c742cc28978c406d650984d6eeffd,HBM382.HNKL.447
https://entity.api.hubmapconsortium.org/entities/aadeb3ec91f8886051108dbb45ddec76,HBM537.LTFK.379
https://entity.api.hubmapconsortium.org/entities/27d32c5c8e5af5bef285fa773beee5b6,HBM969.VNQL.553
https://entity.api.hubmapconsortium.org/entities/2957761e1ed24c63f53714bd0d9bf25f,HBM892.MXFF.848
https://entity.api.hubmapconsortium.org/entities/2c43806e840ffc9861abadf827c292fc,HBM992.XNZH.647
https://entity.api.hubmapconsortium.org/entities/454f281ae77ccd7a1e2ab86f90c07263,HBM574.NFCS.842
https://entity.api.hubmapconsortium.org/entities/3d74b962e316efbfba104370f5c87e2d,HBM224.GLDC.549
https://entity.api.hubmapconsortium.org/entities/f7c5d23701bf7e9fd88b93aa0f48443d,HBM264.RWRW.668,HBM773.WCXC.264,HBM268.RGJT.587
https://entity.api.hubmapconsortium.org/entities/539d08c341db65d371ae0687bb314bb3,HBM432.BPZM.698
https://entity.api.hubmapconsortium.org/entities/cc5da33c5239011f75c06918dad38914,HBM578.SRZG.769
https://entity.api.hubmapconsortium.org/entities/726f5d11ea3999141d7c3c37ec267d8b,HBM253.HFDZ.866
https://entity.api.hubmapconsortium.org/entities/7e54c74b70ad6e71177f1705f2eecafe,HBM894.PGJZ.258
https://entity.api.hubmapconsortium.org/entities/8360fe86ced2d235571ebcd59ec2d545,HBM229.HKHH.537
https://entity.api.hubmapconsortium.org/entities/8cfd588e5bc4a31ea61d3a11eae0cf61,HBM865.PBJW.845
https://entity.api.hubmapconsortium.org/entities/9778e9d083094862b2874f3007f8fe76,HBM396.WPKL.954
https://entity.api.hubmapconsortium.org/entities/a5a5a3bff1df2a6c378d85316161bd5b,HBM839.TQNM.958
https://entity.api.hubmapconsortium.org/entities/a7c3ea8269b3a97ac9f39cb4a970666c,HBM764.ZCQR.585
https://entity.api.hubmapconsortium.org/entities/b2362226c142a855ddaa0fba0db29b95,HBM797.PDPS.368
https://entity.api.hubmapconsortium.org/entities/b6293bba61e3956b6546f4e6f47c8c3c,HBM982.TPNQ.737
https://entity.api.hubmapconsortium.org/entities/e92386147334ee241991e25d8ae3e04f,HBM375.ZKZZ.765
https://entity.api.hubmapconsortium.org/entities/d78afa907431bb4c943e39de3e994c27,HBM654.BKGL.942
https://entity.api.hubmapconsortium.org/entities/e6a61a2aaec9809abf19f1f7b562f237,HBM639.SGGN.469
https://entity.api.hubmapconsortium.org/entities/f187ff9a4631540a9aced9086c512d5e,HBM297.VBLS.984
