hubmap_id,uuid,rui
HBM876.HTRX.668,aa97a7c3e11e210bfa1629ee467bdcf6,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM537.GVTL.683,17fb6d5db17936acc8fb613ce98ab808,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM447.KCHB.778,911380980cd33eac5add7f72d86de146,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM552.PBBF.363,2a590db3d7ab1e1512816b165d95cdcf,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM282.BKRZ.254,44830922b634a9ecd4812b4f27ad4923,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM834.THPC.928,67c6b239cf0986423273c874dd8c5e66,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM958.GZCX.985,28d7789ef980031fb7278646fe43ffe1,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM684.TLPQ.738,781a16848177ef6567d4963a0eb9fb0a,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM476.VHDB.268,bca0d1d7fcb2bdcde16a31d1484e83e5,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM393.DZDZ.972,15882fef75843d5cef518853a0e8246d,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM942.NXWW.245,b5ff6c347488c45deafeb6316dc7925b,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM427.KFXP.323,2ee93cd3a39b317d58d3f308281a943e,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM634.QQWF.789,feea9accbe57b7a052563895ac543d91,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM664.LQSH.693,4348d5cf6485b949381a1c3358ab3f23,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM873.NSHG.559,5a6470730104461ebb4358a11f70bd56,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM258.HQCL.349,5c57b3574a103e4990c8ed54cd82c6e6,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM243.MTZV.726,5137facf6f24b87d325b886ec8e5fb1f,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM252.JLSW.848,f4b3c0e24e09e1e8c16f2e4e190a8cbb,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
HBM246.KBZS.276,bba1f664447f3bf1bccb0b6ebf2f61ad,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c
