dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,native cell,CL:0000003,male,seventh decade human stage,European,522
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,fibroblast,CL:0000057,male,seventh decade human stage,European,728
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,mesothelial cell,CL:0000077,male,seventh decade human stage,European,1
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,mast cell,CL:0000097,male,seventh decade human stage,European,7
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,male,seventh decade human stage,European,83
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,male,seventh decade human stage,European,274
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,macrophage,CL:0000235,male,seventh decade human stage,European,321
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,B cell,CL:0000236,male,seventh decade human stage,European,31
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,dendritic cell,CL:0000451,male,seventh decade human stage,European,62
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,monocyte,CL:0000576,male,seventh decade human stage,European,44
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,male,seventh decade human stage,European,429
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,pericyte,CL:0000669,male,seventh decade human stage,European,696
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,seventh decade human stage,European,231
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,mature NK T cell,CL:0000814,male,seventh decade human stage,European,124
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,seventh decade human stage,European,67
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,seventh decade human stage,European,125
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,seventh decade human stage,European,82
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,CD14-positive monocyte,CL:0001054,male,seventh decade human stage,European,110
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,male,seventh decade human stage,European,1025
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,male,seventh decade human stage,European,17
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,male,seventh decade human stage,European,1056
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,neural cell,CL:0002319,male,seventh decade human stage,European,6
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,"CD14-positive, CD16-positive monocyte",CL:0002397,male,seventh decade human stage,European,316
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,male,seventh decade human stage,European,144
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,male,seventh decade human stage,European,2
All — Cells of the adult human heart,D7,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,male,seventh decade human stage,European,571
