dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,native cell,CL:0000003,female,fifth decade human stage,European,150
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,fibroblast,CL:0000057,female,fifth decade human stage,European,593
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,mast cell,CL:0000097,female,fifth decade human stage,European,10
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,endothelial cell,CL:0000115,female,fifth decade human stage,European,18
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,smooth muscle cell,CL:0000192,female,fifth decade human stage,European,220
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,macrophage,CL:0000235,female,fifth decade human stage,European,87
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,B cell,CL:0000236,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,dendritic cell,CL:0000451,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,monocyte,CL:0000576,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,natural killer cell,CL:0000623,female,fifth decade human stage,European,15
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,pericyte,CL:0000669,female,fifth decade human stage,European,261
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,fifth decade human stage,European,4
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,mature NK T cell,CL:0000814,female,fifth decade human stage,European,11
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,fifth decade human stage,European,12
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,fifth decade human stage,European,19
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,CD14-positive monocyte,CL:0001054,female,fifth decade human stage,European,2
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,regular atrial cardiac myocyte,CL:0002129,female,fifth decade human stage,European,576
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,endothelial cell of lymphatic vessel,CL:0002138,female,fifth decade human stage,European,6
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,capillary endothelial cell,CL:0002144,female,fifth decade human stage,European,116
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,neural cell,CL:0002319,female,fifth decade human stage,European,46
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,"CD14-positive, CD16-positive monocyte",CL:0002397,female,fifth decade human stage,European,2
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,vein endothelial cell,CL:0002543,female,fifth decade human stage,European,20
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,epicardial adipocyte,CL:1000309,female,fifth decade human stage,European,298
All — Cells of the adult human heart,H6,left cardiac atrium,UBERON:0002079,endothelial cell of artery,CL:1000413,female,fifth decade human stage,European,59
