dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,native cell,CL:0000003,female,eighth decade human stage,European,229
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,fibroblast,CL:0000057,female,eighth decade human stage,European,2095
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,mast cell,CL:0000097,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,endothelial cell,CL:0000115,female,eighth decade human stage,European,71
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,30
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,macrophage,CL:0000235,female,eighth decade human stage,European,225
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,B cell,CL:0000236,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,dendritic cell,CL:0000451,female,eighth decade human stage,European,16
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,monocyte,CL:0000576,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,pericyte,CL:0000669,female,eighth decade human stage,European,507
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,mature NK T cell,CL:0000814,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,eighth decade human stage,European,27
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,eighth decade human stage,European,11
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,regular ventricular cardiac myocyte,CL:0002131,female,eighth decade human stage,European,2011
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,endothelial cell of lymphatic vessel,CL:0002138,female,eighth decade human stage,European,41
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,110
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,neural cell,CL:0002319,female,eighth decade human stage,European,26
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,14
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,40
All — Cells of the adult human heart,D4,heart right ventricle,UBERON:0002080,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,29
