dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,native cell,CL:0000003,female,eighth decade human stage,European,148
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,fibroblast,CL:0000057,female,eighth decade human stage,European,1348
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,mesothelial cell,CL:0000077,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,mast cell,CL:0000097,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,female,eighth decade human stage,European,53
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,26
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,macrophage,CL:0000235,female,eighth decade human stage,European,123
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,dendritic cell,CL:0000451,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,monocyte,CL:0000576,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,pericyte,CL:0000669,female,eighth decade human stage,European,932
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,female,eighth decade human stage,European,2001
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,female,eighth decade human stage,European,14
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,469
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,neural cell,CL:0002319,female,eighth decade human stage,European,18
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,22
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,91
All — Cells of the adult human heart,D4,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,94
