dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,native cell,CL:0000003,female,eighth decade human stage,European,211
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,fibroblast,CL:0000057,female,eighth decade human stage,European,1722
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,mesothelial cell,CL:0000077,female,eighth decade human stage,European,52
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,mast cell,CL:0000097,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,endothelial cell,CL:0000115,female,eighth decade human stage,European,655
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,189
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,macrophage,CL:0000235,female,eighth decade human stage,European,159
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,B cell,CL:0000236,female,eighth decade human stage,European,13
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,dendritic cell,CL:0000451,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,monocyte,CL:0000576,female,eighth decade human stage,European,8
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,natural killer cell,CL:0000623,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,pericyte,CL:0000669,female,eighth decade human stage,European,217
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,25
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,eighth decade human stage,European,12
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,eighth decade human stage,European,8
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,CD14-positive monocyte,CL:0001054,female,eighth decade human stage,European,18
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,regular atrial cardiac myocyte,CL:0002129,female,eighth decade human stage,European,1190
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,161
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,neural cell,CL:0002319,female,eighth decade human stage,European,73
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,"CD14-positive, CD16-positive monocyte",CL:0002397,female,eighth decade human stage,European,15
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,258
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,9
All — Cells of the adult human heart,D5,right cardiac atrium,UBERON:0002078,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,143
