dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,native cell,CL:0000003,female,fifth decade human stage,European,473
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,fibroblast,CL:0000057,female,fifth decade human stage,European,290
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,mast cell,CL:0000097,female,fifth decade human stage,European,29
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,female,fifth decade human stage,European,24
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,female,fifth decade human stage,European,139
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,macrophage,CL:0000235,female,fifth decade human stage,European,122
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,B cell,CL:0000236,female,fifth decade human stage,European,5
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,dendritic cell,CL:0000451,female,fifth decade human stage,European,9
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,monocyte,CL:0000576,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,female,fifth decade human stage,European,19
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,pericyte,CL:0000669,female,fifth decade human stage,European,1310
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,fifth decade human stage,European,14
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,mature NK T cell,CL:0000814,female,fifth decade human stage,European,8
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,fifth decade human stage,European,18
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,fifth decade human stage,European,8
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,CD14-positive monocyte,CL:0001054,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,female,fifth decade human stage,European,730
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,female,fifth decade human stage,European,4
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,female,fifth decade human stage,European,109
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,neural cell,CL:0002319,female,fifth decade human stage,European,24
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,"CD14-positive, CD16-positive monocyte",CL:0002397,female,fifth decade human stage,European,2
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,female,fifth decade human stage,European,16
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,female,fifth decade human stage,European,111
All — Cells of the adult human heart,H7,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,female,fifth decade human stage,European,21
