dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,native cell,CL:0000003,male,eighth decade human stage,European,1634
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,male,eighth decade human stage,European,141
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,mesothelial cell,CL:0000077,male,eighth decade human stage,European,2
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,mast cell,CL:0000097,male,eighth decade human stage,European,2
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,male,eighth decade human stage,European,259
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,male,eighth decade human stage,European,281
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,macrophage,CL:0000235,male,eighth decade human stage,European,228
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,B cell,CL:0000236,male,eighth decade human stage,European,19
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,male,eighth decade human stage,European,2
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,monocyte,CL:0000576,male,eighth decade human stage,European,78
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,male,eighth decade human stage,European,69
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,pericyte,CL:0000669,male,eighth decade human stage,European,1339
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,eighth decade human stage,European,25
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,male,eighth decade human stage,European,65
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,eighth decade human stage,European,48
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,eighth decade human stage,European,105
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,eighth decade human stage,European,122
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,CD14-positive monocyte,CL:0001054,male,eighth decade human stage,European,50
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,male,eighth decade human stage,European,1907
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,male,eighth decade human stage,European,72
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,male,eighth decade human stage,European,3961
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,neural cell,CL:0002319,male,eighth decade human stage,European,46
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,"CD14-positive, CD16-positive monocyte",CL:0002397,male,eighth decade human stage,European,70
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,male,eighth decade human stage,European,172
All — Cells of the adult human heart,D6,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,male,eighth decade human stage,European,1450
