dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,native cell,CL:0000003,male,sixth decade human stage,European,132
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,fibroblast,CL:0000057,male,sixth decade human stage,European,357
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,mast cell,CL:0000097,male,sixth decade human stage,European,14
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,endothelial cell,CL:0000115,male,sixth decade human stage,European,24
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,smooth muscle cell,CL:0000192,male,sixth decade human stage,European,196
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,macrophage,CL:0000235,male,sixth decade human stage,European,142
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,B cell,CL:0000236,male,sixth decade human stage,European,16
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,dendritic cell,CL:0000451,male,sixth decade human stage,European,4
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,monocyte,CL:0000576,male,sixth decade human stage,European,4
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,natural killer cell,CL:0000623,male,sixth decade human stage,European,19
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,pericyte,CL:0000669,male,sixth decade human stage,European,617
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,European,88
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,mature NK T cell,CL:0000814,male,sixth decade human stage,European,5
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,sixth decade human stage,European,9
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,European,48
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,European,34
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,CD14-positive monocyte,CL:0001054,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,regular atrial cardiac myocyte,CL:0002129,male,sixth decade human stage,European,342
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,endothelial cell of lymphatic vessel,CL:0002138,male,sixth decade human stage,European,14
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,capillary endothelial cell,CL:0002144,male,sixth decade human stage,European,98
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,neural cell,CL:0002319,male,sixth decade human stage,European,83
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,"CD14-positive, CD16-positive monocyte",CL:0002397,male,sixth decade human stage,European,11
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,vein endothelial cell,CL:0002543,male,sixth decade human stage,European,44
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,epicardial adipocyte,CL:1000309,male,sixth decade human stage,European,76
All — Cells of the adult human heart,H4,left cardiac atrium,UBERON:0002079,endothelial cell of artery,CL:1000413,male,sixth decade human stage,European,35
