dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,native cell,CL:0000003,female,eighth decade human stage,European,218
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,fibroblast,CL:0000057,female,eighth decade human stage,European,704
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,mesothelial cell,CL:0000077,female,eighth decade human stage,European,20
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,mast cell,CL:0000097,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,endothelial cell,CL:0000115,female,eighth decade human stage,European,200
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,281
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,macrophage,CL:0000235,female,eighth decade human stage,European,87
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,B cell,CL:0000236,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,monocyte,CL:0000576,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,natural killer cell,CL:0000623,female,eighth decade human stage,European,9
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,pericyte,CL:0000669,female,eighth decade human stage,European,1185
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,11
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,mature NK T cell,CL:0000814,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,CD14-positive monocyte,CL:0001054,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,regular atrial cardiac myocyte,CL:0002129,female,eighth decade human stage,European,1307
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,endothelial cell of lymphatic vessel,CL:0002138,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,577
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,neural cell,CL:0002319,female,eighth decade human stage,European,100
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,"CD14-positive, CD16-positive monocyte",CL:0002397,female,eighth decade human stage,European,9
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,98
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,21
All — Cells of the adult human heart,D5,left cardiac atrium,UBERON:0002079,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,200
