dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,native cell,CL:0000003,male,seventh decade human stage,European,387
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,male,seventh decade human stage,European,840
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,male,seventh decade human stage,European,59
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,male,seventh decade human stage,European,55
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,macrophage,CL:0000235,male,seventh decade human stage,European,72
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,male,seventh decade human stage,European,5
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,monocyte,CL:0000576,male,seventh decade human stage,European,1
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,male,seventh decade human stage,European,1
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,pericyte,CL:0000669,male,seventh decade human stage,European,738
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,male,seventh decade human stage,European,4
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,seventh decade human stage,European,1
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,seventh decade human stage,European,3
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,seventh decade human stage,European,5
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,male,seventh decade human stage,European,4575
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,male,seventh decade human stage,European,20
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,male,seventh decade human stage,European,223
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,neural cell,CL:0002319,male,seventh decade human stage,European,27
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,male,seventh decade human stage,European,29
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,male,seventh decade human stage,European,3
All — Cells of the adult human heart,D2,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,male,seventh decade human stage,European,33
