dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,native cell,CL:0000003,female,seventh decade human stage,European,824
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,fibroblast,CL:0000057,female,seventh decade human stage,European,1536
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,mast cell,CL:0000097,female,seventh decade human stage,European,16
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,female,seventh decade human stage,European,1493
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,female,seventh decade human stage,European,801
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,macrophage,CL:0000235,female,seventh decade human stage,European,984
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,B cell,CL:0000236,female,seventh decade human stage,European,35
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,dendritic cell,CL:0000451,female,seventh decade human stage,European,19
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,monocyte,CL:0000576,female,seventh decade human stage,European,121
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,female,seventh decade human stage,European,174
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,pericyte,CL:0000669,female,seventh decade human stage,European,3066
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,seventh decade human stage,European,34
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,mature NK T cell,CL:0000814,female,seventh decade human stage,European,59
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,seventh decade human stage,European,76
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,seventh decade human stage,European,73
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,seventh decade human stage,European,141
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,CD14-positive monocyte,CL:0001054,female,seventh decade human stage,European,123
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,female,seventh decade human stage,European,1223
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,female,seventh decade human stage,European,86
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,female,seventh decade human stage,European,5469
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,neural cell,CL:0002319,female,seventh decade human stage,European,42
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,"CD14-positive, CD16-positive monocyte",CL:0002397,female,seventh decade human stage,European,132
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,female,seventh decade human stage,European,764
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,female,seventh decade human stage,European,199
All — Cells of the adult human heart,D11,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,female,seventh decade human stage,European,1039
