dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,native cell,CL:0000003,female,sixth decade human stage,European,500
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,fibroblast,CL:0000057,female,sixth decade human stage,European,474
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,mast cell,CL:0000097,female,sixth decade human stage,European,75
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,endothelial cell,CL:0000115,female,sixth decade human stage,European,45
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,smooth muscle cell,CL:0000192,female,sixth decade human stage,European,356
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,macrophage,CL:0000235,female,sixth decade human stage,European,87
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,B cell,CL:0000236,female,sixth decade human stage,European,3
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,dendritic cell,CL:0000451,female,sixth decade human stage,European,3
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,monocyte,CL:0000576,female,sixth decade human stage,European,5
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,natural killer cell,CL:0000623,female,sixth decade human stage,European,9
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,pericyte,CL:0000669,female,sixth decade human stage,European,1889
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,sixth decade human stage,European,49
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,mature NK T cell,CL:0000814,female,sixth decade human stage,European,18
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,sixth decade human stage,European,4
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,sixth decade human stage,European,122
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,sixth decade human stage,European,60
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,CD14-positive monocyte,CL:0001054,female,sixth decade human stage,European,5
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,regular ventricular cardiac myocyte,CL:0002131,female,sixth decade human stage,European,5043
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,endothelial cell of lymphatic vessel,CL:0002138,female,sixth decade human stage,European,1
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,capillary endothelial cell,CL:0002144,female,sixth decade human stage,European,337
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,neural cell,CL:0002319,female,sixth decade human stage,European,90
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,"CD14-positive, CD16-positive monocyte",CL:0002397,female,sixth decade human stage,European,1
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,vein endothelial cell,CL:0002543,female,sixth decade human stage,European,15
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,epicardial adipocyte,CL:1000309,female,sixth decade human stage,European,3
All — Cells of the adult human heart,H5,heart left ventricle,UBERON:0002084,endothelial cell of artery,CL:1000413,female,sixth decade human stage,European,125
