dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,native cell,CL:0000003,female,sixth decade human stage,European,179
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,fibroblast,CL:0000057,female,sixth decade human stage,European,306
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,mast cell,CL:0000097,female,sixth decade human stage,European,5
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,endothelial cell,CL:0000115,female,sixth decade human stage,European,67
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,smooth muscle cell,CL:0000192,female,sixth decade human stage,European,89
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,macrophage,CL:0000235,female,sixth decade human stage,European,126
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,B cell,CL:0000236,female,sixth decade human stage,European,8
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,dendritic cell,CL:0000451,female,sixth decade human stage,European,8
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,monocyte,CL:0000576,female,sixth decade human stage,European,7
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,natural killer cell,CL:0000623,female,sixth decade human stage,European,29
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,pericyte,CL:0000669,female,sixth decade human stage,European,495
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,sixth decade human stage,European,26
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,mature NK T cell,CL:0000814,female,sixth decade human stage,European,10
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,sixth decade human stage,European,4
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,sixth decade human stage,European,7
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,sixth decade human stage,European,2
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,CD14-positive monocyte,CL:0001054,female,sixth decade human stage,European,11
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,regular atrial cardiac myocyte,CL:0002129,female,sixth decade human stage,European,368
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,capillary endothelial cell,CL:0002144,female,sixth decade human stage,European,121
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,neural cell,CL:0002319,female,sixth decade human stage,European,28
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,"CD14-positive, CD16-positive monocyte",CL:0002397,female,sixth decade human stage,European,80
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,vein endothelial cell,CL:0002543,female,sixth decade human stage,European,24
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,epicardial adipocyte,CL:1000309,female,sixth decade human stage,European,147
All — Cells of the adult human heart,H5,left cardiac atrium,UBERON:0002079,endothelial cell of artery,CL:1000413,female,sixth decade human stage,European,41
