dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,native cell,CL:0000003,male,sixth decade human stage,European,330
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,fibroblast,CL:0000057,male,sixth decade human stage,European,581
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,mast cell,CL:0000097,male,sixth decade human stage,European,64
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,endothelial cell,CL:0000115,male,sixth decade human stage,European,62
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,smooth muscle cell,CL:0000192,male,sixth decade human stage,European,419
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,macrophage,CL:0000235,male,sixth decade human stage,European,157
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,B cell,CL:0000236,male,sixth decade human stage,European,7
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,dendritic cell,CL:0000451,male,sixth decade human stage,European,33
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,monocyte,CL:0000576,male,sixth decade human stage,European,3
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,natural killer cell,CL:0000623,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,pericyte,CL:0000669,male,sixth decade human stage,European,1687
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,mature NK T cell,CL:0000814,male,sixth decade human stage,European,6
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,European,24
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,European,39
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,regular ventricular cardiac myocyte,CL:0002131,male,sixth decade human stage,European,2250
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,endothelial cell of lymphatic vessel,CL:0002138,male,sixth decade human stage,European,3
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,capillary endothelial cell,CL:0002144,male,sixth decade human stage,European,667
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,neural cell,CL:0002319,male,sixth decade human stage,European,59
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,vein endothelial cell,CL:0002543,male,sixth decade human stage,European,94
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,epicardial adipocyte,CL:1000309,male,sixth decade human stage,European,8
All — Cells of the adult human heart,H2,heart left ventricle,UBERON:0002084,endothelial cell of artery,CL:1000413,male,sixth decade human stage,European,141
