dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,native cell,CL:0000003,female,fifth decade human stage,European,205
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,female,fifth decade human stage,European,468
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,mast cell,CL:0000097,female,fifth decade human stage,European,25
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,female,fifth decade human stage,European,8
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,female,fifth decade human stage,European,175
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,macrophage,CL:0000235,female,fifth decade human stage,European,88
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,monocyte,CL:0000576,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,pericyte,CL:0000669,female,fifth decade human stage,European,910
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,female,fifth decade human stage,European,3
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,fifth decade human stage,European,5
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,female,fifth decade human stage,European,1815
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,female,fifth decade human stage,European,5
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,female,fifth decade human stage,European,76
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,neural cell,CL:0002319,female,fifth decade human stage,European,35
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,female,fifth decade human stage,European,8
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H7,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,female,fifth decade human stage,European,20
