dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,native cell,CL:0000003,female,seventh decade human stage,European,463
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,fibroblast,CL:0000057,female,seventh decade human stage,European,91
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,mast cell,CL:0000097,female,seventh decade human stage,European,8
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,endothelial cell,CL:0000115,female,seventh decade human stage,European,1056
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,smooth muscle cell,CL:0000192,female,seventh decade human stage,European,80
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,macrophage,CL:0000235,female,seventh decade human stage,European,84
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,B cell,CL:0000236,female,seventh decade human stage,European,15
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,dendritic cell,CL:0000451,female,seventh decade human stage,European,3
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,monocyte,CL:0000576,female,seventh decade human stage,European,26
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,natural killer cell,CL:0000623,female,seventh decade human stage,European,85
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,pericyte,CL:0000669,female,seventh decade human stage,European,443
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,seventh decade human stage,European,46
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,mature NK T cell,CL:0000814,female,seventh decade human stage,European,28
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,seventh decade human stage,European,34
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,seventh decade human stage,European,7
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,seventh decade human stage,European,45
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,CD14-positive monocyte,CL:0001054,female,seventh decade human stage,European,118
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,regular atrial cardiac myocyte,CL:0002129,female,seventh decade human stage,European,274
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,endothelial cell of lymphatic vessel,CL:0002138,female,seventh decade human stage,European,1
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,capillary endothelial cell,CL:0002144,female,seventh decade human stage,European,189
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,neural cell,CL:0002319,female,seventh decade human stage,European,11
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,"CD14-positive, CD16-positive monocyte",CL:0002397,female,seventh decade human stage,European,78
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,vein endothelial cell,CL:0002543,female,seventh decade human stage,European,234
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,epicardial adipocyte,CL:1000309,female,seventh decade human stage,European,12
All — Cells of the adult human heart,D11,left cardiac atrium,UBERON:0002079,endothelial cell of artery,CL:1000413,female,seventh decade human stage,European,138
