dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,native cell,CL:0000003,female,fifth decade human stage,European,132
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,fibroblast,CL:0000057,female,fifth decade human stage,European,289
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,mast cell,CL:0000097,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,endothelial cell,CL:0000115,female,fifth decade human stage,European,51
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,smooth muscle cell,CL:0000192,female,fifth decade human stage,European,41
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,macrophage,CL:0000235,female,fifth decade human stage,European,51
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,B cell,CL:0000236,female,fifth decade human stage,European,5
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,dendritic cell,CL:0000451,female,fifth decade human stage,European,13
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,monocyte,CL:0000576,female,fifth decade human stage,European,17
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,natural killer cell,CL:0000623,female,fifth decade human stage,European,17
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,pericyte,CL:0000669,female,fifth decade human stage,European,128
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,fifth decade human stage,European,23
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,mature NK T cell,CL:0000814,female,fifth decade human stage,European,4
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,fifth decade human stage,European,3
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,fifth decade human stage,European,18
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,fifth decade human stage,European,6
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,CD14-positive monocyte,CL:0001054,female,fifth decade human stage,European,10
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,regular atrial cardiac myocyte,CL:0002129,female,fifth decade human stage,European,198
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,capillary endothelial cell,CL:0002144,female,fifth decade human stage,European,82
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,neural cell,CL:0002319,female,fifth decade human stage,European,82
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,"CD14-positive, CD16-positive monocyte",CL:0002397,female,fifth decade human stage,European,82
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,vein endothelial cell,CL:0002543,female,fifth decade human stage,European,58
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,epicardial adipocyte,CL:1000309,female,fifth decade human stage,European,145
All — Cells of the adult human heart,H7,right cardiac atrium,UBERON:0002078,endothelial cell of artery,CL:1000413,female,fifth decade human stage,European,29
