dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,native cell,CL:0000003,male,sixth decade human stage,European,317
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,fibroblast,CL:0000057,male,sixth decade human stage,European,197
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,mast cell,CL:0000097,male,sixth decade human stage,European,11
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,endothelial cell,CL:0000115,male,sixth decade human stage,European,23
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,smooth muscle cell,CL:0000192,male,sixth decade human stage,European,228
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,macrophage,CL:0000235,male,sixth decade human stage,European,40
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,B cell,CL:0000236,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,dendritic cell,CL:0000451,male,sixth decade human stage,European,4
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,monocyte,CL:0000576,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,natural killer cell,CL:0000623,male,sixth decade human stage,European,1
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,pericyte,CL:0000669,male,sixth decade human stage,European,1084
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,European,2
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,mature NK T cell,CL:0000814,male,sixth decade human stage,European,2
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,European,12
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,European,3
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,regular ventricular cardiac myocyte,CL:0002131,male,sixth decade human stage,European,1463
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,endothelial cell of lymphatic vessel,CL:0002138,male,sixth decade human stage,European,5
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,capillary endothelial cell,CL:0002144,male,sixth decade human stage,European,159
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,neural cell,CL:0002319,male,sixth decade human stage,European,43
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,vein endothelial cell,CL:0002543,male,sixth decade human stage,European,4
All — Cells of the adult human heart,H4,heart right ventricle,UBERON:0002080,endothelial cell of artery,CL:1000413,male,sixth decade human stage,European,29
