dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,native cell,CL:0000003,female,eighth decade human stage,European,332
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,fibroblast,CL:0000057,female,eighth decade human stage,European,253
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,mesothelial cell,CL:0000077,female,eighth decade human stage,European,3
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,endothelial cell,CL:0000115,female,eighth decade human stage,European,30
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,smooth muscle cell,CL:0000192,female,eighth decade human stage,European,78
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,macrophage,CL:0000235,female,eighth decade human stage,European,66
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,pericyte,CL:0000669,female,eighth decade human stage,European,891
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,regular ventricular cardiac myocyte,CL:0002131,female,eighth decade human stage,European,2397
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,endothelial cell of lymphatic vessel,CL:0002138,female,eighth decade human stage,European,1
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,capillary endothelial cell,CL:0002144,female,eighth decade human stage,European,139
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,neural cell,CL:0002319,female,eighth decade human stage,European,6
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,"CD14-positive, CD16-positive monocyte",CL:0002397,female,eighth decade human stage,European,2
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,vein endothelial cell,CL:0002543,female,eighth decade human stage,European,9
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,epicardial adipocyte,CL:1000309,female,eighth decade human stage,European,5
All — Cells of the adult human heart,D5,heart right ventricle,UBERON:0002080,endothelial cell of artery,CL:1000413,female,eighth decade human stage,European,44
