dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,cell_count
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,native cell,CL:0000003,female,fifth decade human stage,European,300
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,female,fifth decade human stage,European,407
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,mast cell,CL:0000097,female,fifth decade human stage,European,34
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,female,fifth decade human stage,European,28
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,female,fifth decade human stage,European,114
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,macrophage,CL:0000235,female,fifth decade human stage,European,105
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,B cell,CL:0000236,female,fifth decade human stage,European,21
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,monocyte,CL:0000576,female,fifth decade human stage,European,6
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,female,fifth decade human stage,European,30
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,pericyte,CL:0000669,female,fifth decade human stage,European,419
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,fifth decade human stage,European,22
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,mature NK T cell,CL:0000814,female,fifth decade human stage,European,8
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,"activated CD4-positive, alpha-beta T cell",CL:0000896,female,fifth decade human stage,European,1
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,fifth decade human stage,European,19
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,female,fifth decade human stage,European,9
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,CD14-positive monocyte,CL:0001054,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,female,fifth decade human stage,European,2301
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,female,fifth decade human stage,European,6
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,female,fifth decade human stage,European,156
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,neural cell,CL:0002319,female,fifth decade human stage,European,44
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,"CD14-positive, CD16-positive monocyte",CL:0002397,female,fifth decade human stage,European,14
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,female,fifth decade human stage,European,19
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,female,fifth decade human stage,European,7
All — Cells of the adult human heart,H6,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,female,fifth decade human stage,European,24
