dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,native cell,CL:0000003,male,sixth decade human stage,Asian,1266
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,fibroblast,CL:0000057,male,sixth decade human stage,Asian,1031
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,mast cell,CL:0000097,male,sixth decade human stage,Asian,80
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,endothelial cell,CL:0000115,male,sixth decade human stage,Asian,99
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,smooth muscle cell,CL:0000192,male,sixth decade human stage,Asian,326
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,macrophage,CL:0000235,male,sixth decade human stage,Asian,111
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,B cell,CL:0000236,male,sixth decade human stage,Asian,3
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,dendritic cell,CL:0000451,male,sixth decade human stage,Asian,9
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,monocyte,CL:0000576,male,sixth decade human stage,Asian,2
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,natural killer cell,CL:0000623,male,sixth decade human stage,Asian,5
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,pericyte,CL:0000669,male,sixth decade human stage,Asian,2555
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,Asian,1
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,mature NK T cell,CL:0000814,male,sixth decade human stage,Asian,2
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,sixth decade human stage,Asian,1
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,Asian,5
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,Asian,9
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,regular ventricular cardiac myocyte,CL:0002131,male,sixth decade human stage,Asian,3968
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,capillary endothelial cell,CL:0002144,male,sixth decade human stage,Asian,754
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,neural cell,CL:0002319,male,sixth decade human stage,Asian,126
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,"CD14-positive, CD16-positive monocyte",CL:0002397,male,sixth decade human stage,Asian,1
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,vein endothelial cell,CL:0002543,male,sixth decade human stage,Asian,39
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,epicardial adipocyte,CL:1000309,male,sixth decade human stage,Asian,3
All — Cells of the adult human heart,H3,heart left ventricle,UBERON:0002084,endothelial cell of artery,CL:1000413,male,sixth decade human stage,Asian,126
