tissue_block_id,dataset_id,renal_pyramid,percentage_of_AS,percentage_of_tissue
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,0.034347261,0.999
HBM559.FGNX.293,HBM375.ZKZZ.765,VH_F_renal_pyramid_L_a,0.001130866,0.576
HBM624.DFVP.726,HBM382.HNKL.447,VH_F_renal_pyramid_L_h,0.011142547,0.998
HBM645.PKCL.773,HBM399.TFTQ.282,VH_F_renal_pyramid_L_k,0.015088679,0.607
HBM926.GQBN.564,HBM839.TQNM.958,VH_F_renal_pyramid_R_i,0.031751856,0.693
HBM962.VJJD.833,HBM764.ZCQR.585,VH_F_renal_pyramid_R_a,0.014139451,0.987
HBM998.JGQB.357,HBM224.GLDC.549,VH_F_renal_pyramid_L_j,0.003737023,0.999
