hubmap_id,uuid,descendants,has_h5,exact_hubmap_id
HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,0d1eb3d774a694b79e844987f771b183,True,HBM689.ZKRJ.585
HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,107f237dc1c866e9e9b215c7354c8d6a,True,HBM297.XVDG.492
HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,0d1eb3d774a694b79e844987f771b183,True,HBM689.ZKRJ.585
HBM224.GLDC.549,fd0c0fcde5a331c9dfff52b520c7d792,107f237dc1c866e9e9b215c7354c8d6a,True,HBM297.XVDG.492
HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,82400009b02f7651f3edf5b292f7cd9a,True,HBM439.JPZX.574
HBM232.KNBD.954,4c4d0414f303303ca858da5a5d343f6a,82400009b02f7651f3edf5b292f7cd9a,True,HBM439.JPZX.574
HBM238.MHWZ.654,42a767c2036382d7f015989cad1ce138,704d16116f29994ab0e714f4afdb5516,True,HBM479.GMDK.586
HBM238.MHWZ.654,42a767c2036382d7f015989cad1ce138,704d16116f29994ab0e714f4afdb5516,True,HBM479.GMDK.586
HBM239.XXRN.647,397b6f876ec7976923650135481d08e5,dd3e6da115fd13eee62d9a4fba2324ae,True,HBM947.GLGL.465
HBM239.XXRN.647,397b6f876ec7976923650135481d08e5,dd3e6da115fd13eee62d9a4fba2324ae,True,HBM947.GLGL.465
HBM245.VSKK.846,e30d1d413f45c48edbfdf0ecf9d58dcc,7479e6dbfa3b3a8e1e2d4f78cbe0f9e4,True,HBM443.VNQV.892
HBM245.VSKK.846,e30d1d413f45c48edbfdf0ecf9d58dcc,7479e6dbfa3b3a8e1e2d4f78cbe0f9e4,True,HBM443.VNQV.892
HBM246.DMSS.835,05197e30394fd88affff0a9c214c8c4c,4b16c24a3997ea8754921b0f1d60bc4d,True,HBM244.QJFT.664
HBM252.BMWF.224,d34706323794467348995af37072b5ee,ac1d4544ab4886b851f74b2c21952378,True,HBM339.FPMK.994
HBM252.BMWF.224,d34706323794467348995af37072b5ee,ac1d4544ab4886b851f74b2c21952378,True,HBM339.FPMK.994
HBM255.HLNC.938,154ec6344a58e4acb15ad01977b84baf,eb961e5dc50239d35f5398903c64e2b9,True,HBM234.VNGB.747
HBM255.HLNC.938,154ec6344a58e4acb15ad01977b84baf,eb961e5dc50239d35f5398903c64e2b9,True,HBM234.VNGB.747
HBM256.KFVT.324,f37e71fbc717aac007cfc9efc6de2cf8,b5aaa0ff6cde445a6808dc03e27c9364,True,HBM574.MNBP.566
HBM257.DBNG.933,9e8d22618bc17f270c58b7bb2581ece4,a69367866979f878635b2b665a6a7e0c,True,HBM974.RQNL.845
